timestamp,source,dataset_id,error_category,error_message,retries_attempted
2026-07-08T13:58:33.587822+00:00,full_scan,openbmb/UltraData-SFT-2605,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e5789-45f342990b3dfccb24100e02;f57f5711-7d68-41a3-8571-2c757c6d9c01)

Cannot access gated repo for url https://huggingface.co/api/datasets/openbmb/UltraData-SFT-2605/refs.
Access to dataset openbmb/UltraData-SFT-2605 is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/openbmb/UltraData-SFT-2605 to ask for access.",0
2026-07-08T13:58:34.145622+00:00,full_scan,ILSVRC/imagenet-1k,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e578a-155a87ad0d4e91460f5281fe;4116e88e-8f54-4a11-b025-054ec2ead9e1)

Cannot access gated repo for url https://huggingface.co/api/datasets/ILSVRC/imagenet-1k/refs.
Access to dataset ILSVRC/imagenet-1k is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/ILSVRC/imagenet-1k to ask for access.",0
2026-07-08T13:58:35.447008+00:00,full_scan,HuggingFaceFV/finevideo,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e578b-1e4e43c658f145d578e10dc4;f2d85b27-1711-4b72-a3d8-5464339b6db4)

Cannot access gated repo for url https://huggingface.co/api/datasets/HuggingFaceFV/finevideo/refs.
Access to dataset HuggingFaceFV/finevideo is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/HuggingFaceFV/finevideo to ask for access.",0
2026-07-08T13:58:50.825477+00:00,full_scan,nvidia/Nemotron-Pretraining-SFT-v1,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e579a-21b5208f70356d7911b7a095;c27990b4-88e3-4c9f-bfd6-f73f907cd0e7)

Cannot access gated repo for url https://huggingface.co/api/datasets/nvidia/Nemotron-Pretraining-SFT-v1/refs.
Access to dataset nvidia/Nemotron-Pretraining-SFT-v1 is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-SFT-v1 to ask for access.",0
2026-07-08T13:58:51.585033+00:00,full_scan,5CD-AI/Viet-Handwriting-OCR-v2,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e579b-1298a90a722035ba182d21c8;2a19ad42-7b1e-4971-8f69-13acb5bfca25)

Cannot access gated repo for url https://huggingface.co/api/datasets/5CD-AI/Viet-Handwriting-OCR-v2/refs.
Access to dataset 5CD-AI/Viet-Handwriting-OCR-v2 is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/5CD-AI/Viet-Handwriting-OCR-v2 to ask for access.",0
2026-07-08T13:58:51.992283+00:00,full_scan,hotdogs/uka-fable-reasoning,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e579b-7aa751c92dbc44d61efb26ee;63005bf9-e525-48b1-8c78-7ff949c681bf)

Cannot access gated repo for url https://huggingface.co/api/datasets/hotdogs/uka-fable-reasoning/refs.
Access to dataset hotdogs/uka-fable-reasoning is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/hotdogs/uka-fable-reasoning to ask for access.",0
2026-07-08T13:59:46.114332+00:00,full_scan,RingoWRW97/AirZoo-Real,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e57d2-38d2e64e63908bb879df18ec;93405d3e-1812-4b66-bbeb-cb870d6ac1a8)

Cannot access gated repo for url https://huggingface.co/api/datasets/RingoWRW97/AirZoo-Real/refs.
Access to dataset RingoWRW97/AirZoo-Real is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/RingoWRW97/AirZoo-Real to ask for access.",0
2026-07-08T13:59:46.250963+00:00,full_scan,MechIntelligence/manufacturing-digital-gene-dataset,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e57d2-2c14a5bb19cd623b116b741b;60b3f055-609e-4808-80d4-d9c0791c5089)

Cannot access gated repo for url https://huggingface.co/api/datasets/MechIntelligence/manufacturing-digital-gene-dataset/refs.
Access to dataset MechIntelligence/manufacturing-digital-gene-dataset is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/MechIntelligence/manufacturing-digital-gene-dataset to ask for access.",0
2026-07-08T13:59:48.770227+00:00,full_scan,speechcolab/gigaspeech2,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e57d4-4b64263b1c08f77b19fc8351;02fc0a90-1985-4b03-928d-372a87650491)

Cannot access gated repo for url https://huggingface.co/api/datasets/speechcolab/gigaspeech2/refs.
Access to dataset speechcolab/gigaspeech2 is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/speechcolab/gigaspeech2 to ask for access.",0
2026-07-08T13:59:48.905359+00:00,full_scan,allenai/wildguardmix,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e57d4-6022709244972d0b0bbeae03;c051d013-d01d-46e2-8b0c-85ac4983f219)

Cannot access gated repo for url https://huggingface.co/api/datasets/allenai/wildguardmix/refs.
Access to dataset allenai/wildguardmix is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/allenai/wildguardmix to ask for access.",0
